Sample_ID,Full,Type,Specific,Season,Site,Replicate,Water,Reseq_pairs,Culture_clade,Culture_genus,Sequenced_clade,Sequenced_genus,Match_expected,Heron_study,Symbiodinium_network,Durusdinium_network,Fugacium_network
11_ITS2,Sydney_2015_Coral (Plesiastrea)_site 1_a,Host,Plesiastrea versipora,Summer,Site_1,A,Temperate,x,x,x,x,x,x,n,n,n,n
75_ITS2,Sydney_2015_Coral (Plesiastrea)_site 1_b,Host,Plesiastrea versipora,Summer,Site_1,B,Temperate,x,x,x,x,x,x,n,n,n,n
76_ITS2,Sydney_2015_Coral (Plesiastrea)_site 1_c,Host,Plesiastrea versipora,Summer,Site_1,C,Temperate,x,x,x,x,x,x,n,n,n,n
77_ITS2,Sydney_2015_Coral (Plesiastrea)_site 1_d,Host,Plesiastrea versipora,Summer,Site_1,D,Temperate,x,x,x,x,x,x,n,n,n,n
12_ITS2,Sydney_2015_Coral (Plesiastrea)_site 2_a,Host,Plesiastrea versipora,Summer,Site_2,A,Temperate,x,x,x,x,x,x,n,n,n,n
78_ITS2,Sydney_2015_Coral (Plesiastrea)_site 2_b,Host,Plesiastrea versipora,Summer,Site_2,B,Temperate,x,x,x,x,x,x,n,n,n,n
79_ITS2,Sydney_2015_Coral (Plesiastrea)_site 2_c,Host,Plesiastrea versipora,Summer,Site_2,C,Temperate,x,x,x,x,x,x,n,n,n,n
80_ITS2,Sydney_2015_Coral (Plesiastrea)_site 2_d,Host,Plesiastrea versipora,Summer,Site_2,D,Temperate,x,x,x,x,x,x,n,n,n,n
13_ITS2,Sydney_2015_Coral (Plesiastrea)_site 3_a,Host,Plesiastrea versipora,Summer,Site_3,A,Temperate,x,x,x,x,x,x,n,n,n,n
81_ITS2,Sydney_2015_Coral (Plesiastrea)_site 3_b,Host,Plesiastrea versipora,Summer,Site_3,B,Temperate,x,x,x,x,x,x,n,n,n,n
82_ITS2,Sydney_2015_Coral (Plesiastrea)_site 3_c,Host,Plesiastrea versipora,Summer,Site_3,C,Temperate,x,x,x,x,x,x,n,n,n,n
